date,candle_begin_time,daily_return,cumulative_return,,
2021/12/20,2021/12/20,-0.001792865,3.187821574,,
2021/12/21,2021/12/21,0.007748334,3.220270213,,
2021/12/22,2021/12/22,-0.003144256,3.207000602,,
2021/12/23,2021/12/23,0.000524327,3.209206447,,
2021/12/24,2021/12/24,0.008771249,3.246126444,,
2021/12/25,2021/12/25,0.003225857,3.25982384,,
2021/12/26,2021/12/26,0.001548967,3.266422168,,
2021/12/27,2021/12/27,-0.008725201,3.229196777,,
2021/12/28,2021/12/28,-0.003820876,3.213037538,,
2021/12/29,2021/12/29,0.002272696,3.222612491,,
2021/12/30,2021/12/30,-0.000865115,3.218959444,,
2021/12/31,2021/12/31,-0.005535632,3.195604837,,
2022/1/1,2022/1/1,0.002003464,3.204010581,,
2022/1/2,2022/1/2,-0.007853997,3.170992295,,
2022/1/3,2022/1/3,0.006441823,3.197861088,,
2022/1/4,2022/1/4,0.00613764,3.223626049,,
2022/1/5,2022/1/5,0.007067945,3.253478407,,
2022/1/6,2022/1/6,-0.015569637,3.18725329,,
2022/1/7,2022/1/7,0.005527705,3.210399193,,
2022/1/8,2022/1/8,0.007659166,3.242647339,,
2022/1/9,2022/1/9,-0.005350433,3.219947338,,
2022/1/10,2022/1/10,0.003694,3.235535824,,
2022/1/11,2022/1/11,-0.000487474,3.23347111,,
2022/1/12,2022/1/12,-0.006842344,3.204504243,,
2022/1/13,2022/1/13,0.007880053,3.237635959,,
2022/1/14,2022/1/14,0.00142466,3.243673151,,
2022/1/15,2022/1/15,-0.001885623,3.235671181,,
2022/1/16,2022/1/16,-0.005209018,3.213607493,,
2022/1/17,2022/1/17,0.008924668,3.251212539,,
2022/1/18,2022/1/18,0.007418013,3.282748088,,
2022/1/19,2022/1/19,0.010506861,3.327746327,,
2022/1/20,2022/1/20,0.009760124,3.369985666,,
2022/1/21,2022/1/21,0.010654449,3.416545457,,
2022/1/22,2022/1/22,0.005217194,3.439587433,,
2022/1/23,2022/1/23,-0.002569057,3.428181879,,
2022/1/24,2022/1/24,-0.010189641,3.383060295,,
2022/1/25,2022/1/25,0.003696104,3.399260542,,
2022/1/26,2022/1/26,-0.00753366,3.366118009,,
2022/1/27,2022/1/27,-0.005019438,3.344202549,,
2022/1/28,2022/1/28,0.006716808,3.373381724,,
2022/1/29,2022/1/29,0.016227936,3.444352685,,
2022/1/30,2022/1/30,-0.004239566,3.425510559,,
2022/1/31,2022/1/31,0.001413728,3.431767027,,
2022/2/1,2022/2/1,-0.011985956,3.378648065,,
2022/2/2,2022/2/2,-0.000708944,3.375543847,,
2022/2/3,2022/2/3,-0.001698622,3.368111454,,
2022/2/4,2022/2/4,0.000668424,3.371031206,,
2022/2/5,2022/2/5,-0.005146671,3.348534946,,
2022/2/6,2022/2/6,-0.00251471,3.33759964,,
2022/2/7,2022/2/7,0.000470768,3.339641643,,
2022/2/8,2022/2/8,0.000312087,3.340995987,,
2022/2/9,2022/2/9,0.001083662,3.345700159,,
2022/2/10,2022/2/10,0.01682513,3.418817131,,
2022/2/11,2022/2/11,0.011174596,3.468195627,,
2022/2/12,2022/2/12,-0.013010458,3.410062358,,
2022/2/13,2022/2/13,0.007458042,3.442952787,,
2022/2/14,2022/2/14,-0.007983477,3.407482574,,
2022/2/15,2022/2/15,-0.008529809,3.369887588,,
2022/2/16,2022/2/16,0.003880284,3.386843993,,
2022/2/17,2022/2/17,0.003785445,3.403450148,,
2022/2/18,2022/2/18,0.003248639,3.417755366,,
2022/2/19,2022/2/19,0.001502503,3.424393056,,
2022/2/20,2022/2/20,0.007373932,3.457018229,,
2022/2/21,2022/2/21,0.010038361,3.501759388,,
2022/2/22,2022/2/22,-0.002167998,3.491999583,,
2022/2/23,2022/2/23,-0.004428547,3.472106554,,
2022/2/24,2022/2/24,0.006297521,3.500269738,,
2022/2/25,2022/2/25,0.009667408,3.54377568,,
2022/2/26,2022/2/26,0.00129034,3.549638697,,
2022/2/27,2022/2/27,-0.015706797,3.478178444,,
2022/2/28,2022/2/28,-0.007116713,3.446308532,,
2022/3/1,2022/3/1,0.00098916,3.450706643,,
2022/3/2,2022/3/2,-0.002458927,3.439762678,,
2022/3/3,2022/3/3,-0.006289864,3.411837172,,
2022/3/4,2022/3/4,0.00185147,3.420005557,,
2022/3/5,2022/3/5,-0.000539272,3.41762197,,
2022/3/6,2022/3/6,0.014668831,3.482423318,,
2022/3/7,2022/3/7,0.007875943,3.517726627,,
2022/3/8,2022/3/8,0.005770568,3.543796476,,
2022/3/9,2022/3/9,-0.00016141,3.543063062,,
2022/3/10,2022/3/10,0.006717068,3.573579123,,
2022/3/11,2022/3/11,-0.001236021,3.567926082,,
2022/3/12,2022/3/12,-0.001972995,3.558913585,,
2022/3/13,2022/3/13,0.000410521,3.560785117,,
